 x y z density
 0.0 0.0 1.0 0.0034743774733111514
 0.0 0.25 0.75 0.015673856116184083
 0.0 0.5 0.5 0.012098485065977549
 0.0 0.75 0.25 0.015673856116184083
 0.0 1.0 0.0 0.0034743774733111514
 0.25 0.0 0.75 0.015673856116184083
 0.25 0.25 0.5 0.07861618789696313
 0.25 0.5 0.25 0.07861618789696313
 0.25 0.75 0.0 0.015673856116184083
 0.5 0.0 0.5 0.012098485065977549
 0.5 0.25 0.25 0.07861618789696313
 0.5 0.5 0.0 0.012098485065977549
 0.75 0.0 0.25 0.015673856116184083
 0.75 0.25 0.0 0.015673856116184083
 1.0 0.0 0.0 0.0034743774733111514
